Frame,cambi,
0,12.505049,
1,12.523928,
2,13.106260,
3,13.110589,
4,13.317545,
5,13.379824,
6,13.646545,
7,13.675563,
8,13.631903,
9,13.808153,
10,13.879996,
11,13.866660,
12,13.943105,
13,14.128573,
14,14.091688,
15,14.202158,
16,14.127405,
17,14.201412,
18,14.438887,
19,14.578842,
20,14.606959,
21,14.634275,
22,14.628620,
23,14.626904,
24,14.611171,
25,14.678435,
26,14.833182,
27,14.859687,
28,14.800203,
29,14.844446,
30,14.744010,
31,14.832504,
32,13.998460,
33,14.936073,
34,14.926825,
35,15.002893,
36,15.019455,
37,15.085360,
38,15.091755,
39,15.114433,
40,15.045781,
41,15.132501,
42,15.167233,
43,15.167575,
44,15.179654,
45,15.209461,
46,15.171128,
47,15.193629,
48,15.183577,
49,15.212702,
50,15.283497,
51,15.216647,
52,15.186866,
53,15.252417,
54,15.293307,
55,15.301578,
56,15.124673,
57,15.374570,
58,15.439629,
59,15.475995,
60,15.510645,
61,15.454848,
62,15.445410,
63,15.461378,
64,15.009511,
65,15.339177,
66,15.427700,
67,15.530869,
68,15.582152,
69,15.502912,
70,15.482208,
71,15.617915,
72,15.645399,
73,15.661840,
74,15.653054,
75,15.634291,
76,15.781547,
77,15.834571,
78,15.935320,
79,15.926068,
80,15.699799,
81,15.554568,
82,15.555637,
83,15.587907,
84,15.766083,
85,15.753015,
86,15.696735,
87,15.708507,
88,15.686957,
89,15.726648,
90,15.634796,
91,15.674886,
92,15.647065,
93,15.696495,
94,15.643226,
95,15.590836,
96,15.424175,
97,15.663037,
98,15.664033,
99,15.638732,
100,15.651033,
101,15.728610,
102,15.687237,
103,15.719567,
104,15.687885,
105,15.596781,
106,15.569006,
107,15.527260,
108,15.570876,
109,15.615049,
110,15.672883,
111,15.738974,
112,15.654306,
113,15.733435,
114,15.665890,
115,15.681206,
116,15.738439,
117,15.733765,
118,15.714685,
119,15.734635,
120,15.732301,
121,15.726886,
122,15.719907,
123,15.695848,
124,15.697527,
125,15.553381,
126,15.531477,
127,15.551901,
128,15.571647,
129,15.708856,
